date,total_score,negative_score,positive_score,neutral_score
2015-01-01,58,25,83,83
2015-01-02,139,123,262,262
2015-01-03,171,70,241,241
2015-01-04,144,37,181,181
2015-01-05,226,151,377,377
2015-01-06,344,177,521,521
2015-01-07,310,189,499,499
2015-01-08,391,169,560,560
2015-01-09,337,158,495,495
2015-01-10,184,52,236,236
2015-01-11,126,26,152,152
2015-01-12,193,102,295,295
2015-01-13,390,135,525,525
2015-01-14,284,167,451,451
2015-01-15,144,205,349,349
2015-01-16,179,205,384,384
2015-01-17,97,108,205,205
2015-01-18,61,33,94,94
2015-01-19,110,50,160,160
2015-01-20,216,99,315,315
2015-01-21,287,137,424,424
2015-01-22,224,106,330,330
2015-01-23,243,168,411,411
2015-01-24,206,77,283,283
2015-01-25,140,37,177,177
2015-01-26,270,126,396,396
2015-01-27,369,186,555,555
2015-01-28,1892,990,2882,2882
2015-01-29,505,355,860,860
2015-01-30,482,260,742,742
2015-01-31,217,123,340,340
2015-02-01,161,59,220,220
2015-02-02,176,139,315,315
2015-02-03,215,166,381,381
2015-02-04,413,168,581,581
2015-02-05,309,164,473,473
2015-02-06,154,183,337,337
2015-02-07,107,94,201,201
2015-02-08,83,52,135,135
2015-02-09,184,83,267,267
2015-02-10,291,240,531,531
2015-02-11,688,306,994,994
2015-02-12,673,310,983,983
2015-02-13,369,165,534,534
2015-02-14,351,150,501,501
2015-02-15,39,23,62,62
2015-02-16,164,60,224,224
2015-02-17,257,225,482,482
2015-02-18,248,210,458,458
2015-02-19,213,219,432,432
2015-02-20,328,178,506,506
2015-02-21,212,88,300,300
2015-02-22,105,72,177,177
2015-02-23,355,167,522,522
2015-02-24,526,282,808,808
2015-02-25,377,269,646,646
2015-02-26,558,362,920,920
2015-02-27,342,316,658,658
2015-02-28,225,126,351,351
2015-03-01,205,75,280,280
2015-03-02,400,122,522,522
2015-03-03,332,199,531,531
2015-03-04,296,188,484,484
2015-03-05,296,305,601,601
2015-03-06,380,197,577,577
2015-03-07,381,189,570,570
2015-03-08,226,71,297,297
2015-03-09,779,412,1191,1191
2015-03-10,800,561,1361,1361
2015-03-11,462,306,768,768
2015-03-12,387,228,615,615
2015-03-13,462,188,650,650
2015-03-14,263,100,363,363
2015-03-15,280,65,345,345
2015-03-16,298,147,445,445
2015-03-17,491,228,719,719
2015-03-18,411,193,604,604
2015-03-19,464,155,619,619
2015-03-20,407,150,557,557
2015-03-21,264,188,452,452
2015-03-22,268,62,330,330
2015-03-23,270,143,413,413
2015-03-24,347,159,506,506
2015-03-25,79,45,124,124
2015-03-26,280,140,420,420
2015-03-27,381,144,525,525
