date,sentiment,0
2015-01-01,-1,25
2015-01-01,0,82
2015-01-01,1,83
2015-01-02,-1,123
2015-01-02,0,358
2015-01-02,1,262
2015-01-03,-1,70
2015-01-03,0,204
2015-01-03,1,241
2015-01-04,-1,37
2015-01-04,0,141
2015-01-04,1,181
2015-01-05,-1,151
2015-01-05,0,340
2015-01-05,1,377
2015-01-06,-1,177
2015-01-06,0,505
2015-01-06,1,521
2015-01-07,-1,189
2015-01-07,0,529
2015-01-07,1,499
2015-01-08,-1,169
2015-01-08,0,613
2015-01-08,1,560
2015-01-09,-1,158
2015-01-09,0,549
2015-01-09,1,495
2015-01-10,-1,52
2015-01-10,0,311
2015-01-10,1,236
2015-01-11,-1,26
2015-01-11,0,124
2015-01-11,1,152
2015-01-12,-1,102
2015-01-12,0,343
2015-01-12,1,295
2015-01-13,-1,135
2015-01-13,0,533
2015-01-13,1,525
2015-01-14,-1,167
2015-01-14,0,512
2015-01-14,1,451
2015-01-15,-1,205
2015-01-15,0,524
2015-01-15,1,349
2015-01-16,-1,205
2015-01-16,0,551
2015-01-16,1,384
2015-01-17,-1,108
2015-01-17,0,298
2015-01-17,1,205
2015-01-18,-1,33
2015-01-18,0,117
2015-01-18,1,94
2015-01-19,-1,50
2015-01-19,0,199
2015-01-19,1,160
2015-01-20,-1,99
2015-01-20,0,356
2015-01-20,1,315
2015-01-21,-1,137
2015-01-21,0,509
2015-01-21,1,424
2015-01-22,-1,106
2015-01-22,0,573
2015-01-22,1,330
2015-01-23,-1,168
2015-01-23,0,654
2015-01-23,1,411
2015-01-24,-1,77
2015-01-24,0,299
2015-01-24,1,283
2015-01-25,-1,37
2015-01-25,0,160
2015-01-25,1,177
2015-01-26,-1,126
2015-01-26,0,484
2015-01-26,1,396
2015-01-27,-1,186
2015-01-27,0,603
2015-01-27,1,555
2015-01-28,-1,990
2015-01-28,0,2973
2015-01-28,1,2882
2015-01-29,-1,355
2015-01-29,0,956
2015-01-29,1,860
2015-01-30,-1,260
2015-01-30,0,846
2015-01-30,1,742
2015-01-31,-1,123
2015-01-31,0,309
2015-01-31,1,340
2015-02-01,-1,59
2015-02-01,0,231
2015-02-01,1,220
2015-02-02,-1,139
2015-02-02,0,401
2015-02-02,1,315
2015-02-03,-1,166
2015-02-03,0,583
2015-02-03,1,381
2015-02-04,-1,168
2015-02-04,0,744
2015-02-04,1,581
2015-02-05,-1,164
2015-02-05,0,611
2015-02-05,1,473
2015-02-06,-1,183
2015-02-06,0,521
2015-02-06,1,337
2015-02-07,-1,94
2015-02-07,0,266
2015-02-07,1,201
2015-02-08,-1,52
2015-02-08,0,149
2015-02-08,1,135
2015-02-09,-1,83
2015-02-09,0,334
2015-02-09,1,267
2015-02-10,-1,240
2015-02-10,0,688
2015-02-10,1,531
2015-02-11,-1,306
2015-02-11,0,1237
2015-02-11,1,994
2015-02-12,-1,310
2015-02-12,0,1157
2015-02-12,1,983
2015-02-13,-1,165
2015-02-13,0,704
2015-02-13,1,534
2015-02-14,-1,150
2015-02-14,0,588
2015-02-14,1,501
2015-02-15,-1,23
2015-02-15,0,72
2015-02-15,1,62
2015-02-16,-1,60
2015-02-16,0,225
2015-02-16,1,224
2015-02-17,-1,225
2015-02-17,0,779
2015-02-17,1,482
2015-02-18,-1,210
2015-02-18,0,526
2015-02-18,1,458
2015-02-19,-1,219
2015-02-19,0,545
2015-02-19,1,432
2015-02-20,-1,178
2015-02-20,0,609
2015-02-20,1,506
2015-02-21,-1,88
2015-02-21,0,391
2015-02-21,1,300
2015-02-22,-1,72
2015-02-22,0,177
2015-02-22,1,177
2015-02-23,-1,167
2015-02-23,0,723
2015-02-23,1,522
2015-02-24,-1,282
2015-02-24,0,1011
2015-02-24,1,808
2015-02-25,-1,269
2015-02-25,0,681
2015-02-25,1,646
2015-02-26,-1,362
2015-02-26,0,1129
2015-02-26,1,920
2015-02-27,-1,316
2015-02-27,0,1074
2015-02-27,1,658
2015-02-28,-1,126
2015-02-28,0,347
2015-02-28,1,351
2015-03-01,-1,75
2015-03-01,0,251
2015-03-01,1,280
2015-03-02,-1,122
2015-03-02,0,480
2015-03-02,1,522
2015-03-03,-1,199
2015-03-03,0,666
2015-03-03,1,531
2015-03-04,-1,188
2015-03-04,0,560
2015-03-04,1,484
2015-03-05,-1,305
2015-03-05,0,788
2015-03-05,1,601
2015-03-06,-1,197
2015-03-06,0,666
2015-03-06,1,577
2015-03-07,-1,189
2015-03-07,0,764
2015-03-07,1,570
2015-03-08,-1,71
2015-03-08,0,322
2015-03-08,1,297
2015-03-09,-1,412
2015-03-09,0,1642
2015-03-09,1,1191
2015-03-10,-1,561
2015-03-10,0,1693
2015-03-10,1,1361
2015-03-11,-1,306
2015-03-11,0,911
2015-03-11,1,768
2015-03-12,-1,228
2015-03-12,0,730
2015-03-12,1,615
2015-03-13,-1,188
2015-03-13,0,560
2015-03-13,1,650
2015-03-14,-1,100
2015-03-14,0,318
2015-03-14,1,363
2015-03-15,-1,65
2015-03-15,0,281
2015-03-15,1,345
2015-03-16,-1,147
2015-03-16,0,605
2015-03-16,1,445
2015-03-17,-1,228
2015-03-17,0,945
2015-03-17,1,719
2015-03-18,-1,193
2015-03-18,0,660
2015-03-18,1,604
2015-03-19,-1,155
2015-03-19,0,707
2015-03-19,1,619
2015-03-20,-1,150
2015-03-20,0,566
2015-03-20,1,557
2015-03-21,-1,188
2015-03-21,0,455
2015-03-21,1,452
2015-03-22,-1,62
2015-03-22,0,179
2015-03-22,1,330
2015-03-23,-1,143
2015-03-23,0,437
2015-03-23,1,413
2015-03-24,-1,159
2015-03-24,0,414
2015-03-24,1,506
2015-03-25,-1,45
2015-03-25,0,131
2015-03-25,1,124
2015-03-26,-1,140
2015-03-26,0,438
2015-03-26,1,420
2015-03-27,-1,144
2015-03-27,0,409
2015-03-27,1,525
2015-03-28,-1,93
2015-03-28,0,261
2015-03-28,1,381
2015-03-29,-1,79
2015-03-29,0,182
2015-03-29,1,340
